,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
129,Fairfax County Public Schools,Falls Church,38.820568,-77.249634,Canterbury Woods Elementary School,PK-6,8.0,11%,812,4,65,28.0,5.0,11.0,49.0,7.0,,14.0,
130,Fairfax County Public Schools,Falls Church,38.946404,-77.189537,Churchill Road Elementary School,PK-6,8.0,0%,761,3,27,33.0,3.0,7.0,49.0,8.0,,16.0,
131,Fairfax County Public Schools,Falls Church,38.89621,-77.285141,Flint Hill Elementary School,PK-6,8.0,5%,688,4,69,14.0,1.0,9.0,67.0,8.0,,16.0,
132,Fairfax County Public Schools,Falls Church,38.935848,-77.414955,Floris Elementary School,PK-6,8.0,3%,771,4,26,60.0,4.0,5.0,26.0,6.0,,15.0,
133,Fairfax County Public Schools,Falls Church,38.935238,-77.174438,Sherman Elementary School,PK-6,8.0,3%,417,5,37,22.0,4.0,10.0,58.0,7.0,,12.0,
134,Fairfax County Public Schools,Falls Church,38.836819,-77.273376,Frost Middle School,7-8,8.0,11%,1214,3,23,27.0,4.0,12.0,50.0,6.0,,14.0,
135,Fairfax County Public Schools,Falls Church,39.001659,-77.291901,Great Falls Elementary School,PK-6,8.0,4%,519,3,30,13.0,1.0,6.0,68.0,11.0,,15.0,
136,Fairfax County Public Schools,Falls Church,38.762173,-77.243477,Hunt Valley Elementary School,PK-6,8.0,9%,692,5,47,17.0,9.0,11.0,56.0,7.0,,14.0,
137,Fairfax County Public Schools,Falls Church,38.781796,-77.224442,Irving Middle School,7-8,8.0,13%,1136,4,42,14.0,11.0,18.0,50.0,7.0,,15.0,
138,Fairfax County Public Schools,Falls Church,38.803532,-77.265839,Lake Braddock Secondary,7-12,8.0,16%,4297,4,58,20.0,7.0,18.0,48.0,7.0,,15.0,
139,Fairfax County Public Schools,Falls Church,38.84737,-77.259285,Mantua Elementary School,PK-6,8.0,12%,1075,4,45,28.0,3.0,12.0,48.0,8.0,,14.0,
140,Fairfax County Public Schools,Falls Church,38.940395,-77.320328,Sunrise Valley Elementary School,PK-6,8.0,10%,575,4,66,11.0,8.0,11.0,57.0,14.0,,12.0,
141,Fairfax County Public Schools,Falls Church,38.725117,-77.055878,Waynewood Elementary School,PK-6,8.0,2%,735,4,33,1.0,1.0,5.0,86.0,5.0,,17.0,
142,Fairfax County Public Schools,Falls Church,38.786068,-77.240128,West Springfield High School,9-12,8.0,12%,2219,4,50,14.0,10.0,16.0,54.0,6.0,,16.0,
143,Fairfax County Public Schools,Falls Church,38.839909,-77.275177,Woodson High School,9-12,8.0,11%,2477,4,64,24.0,5.0,12.0,53.0,6.0,,14.0,
144,Fairfax County Public Schools,Falls Church,38.927639,-77.419365,Carson Middle School,7-8,8.0,9%,1475,5,16,45.0,6.0,9.0,33.0,6.0,,15.0,
145,Fairfax County Public Schools,Falls Church,38.993534,-77.328346,Forestville Elementary School,PK-6,8.0,1%,581,4,35,22.0,1.0,6.0,61.0,10.0,,15.0,
146,Fairfax County Public Schools,Falls Church,38.874325,-77.409698,Rocky Run Middle School,7-8,8.0,12%,1322,4,35,47.0,4.0,11.0,32.0,6.0,,17.0,
147,Fairfax County Public Schools,Falls Church,38.785545,-77.298393,Terra Centre Elementary School,PK-6,8.0,9%,598,4,63,11.0,5.0,15.0,63.0,6.0,,14.0,
148,Fairfax County Public Schools,Falls Church,38.907112,-77.420532,Franklin Middle School,7-8,8.0,16%,882,4,12,25.0,7.0,13.0,49.0,6.0,,13.0,
149,Fairfax County Public Schools,Falls Church,38.914955,-77.362144,Crossfield Elementary School,PK-6,8.0,4%,669,4,22,25.0,2.0,7.0,62.0,4.0,,14.0,
150,Fairfax County Public Schools,Falls Church,38.831856,-77.379784,Willow Springs Elementary School,PK-6,8.0,9%,962,4,39,43.0,4.0,7.0,39.0,6.0,,15.0,
151,Falls Church City Public Schools,Falls Church,38.896702,-77.191704,George Mason High School,9-12,8.0,0%,840,4,37,8.0,4.0,13.0,65.0,9.0,,12.0,
152,Floyd County Public Schools,Floyd,36.86359,-80.466377,Willis Elementary School,PK-7,8.0,66%,224,5,1,1.0,,11.0,84.0,4.0,,17.0,
153,Franklin County Public Schools,Rocky Mount,37.011787,-80.047684,Callaway Elementary School,PK-5,8.0,60%,244,0,1,,1.0,9.0,85.0,3.0,1.0,11.0,
154,Franklin County Public Schools,Rocky Mount,36.84903,-79.928482,Henry Elementary School,PK-5,8.0,84%,207,5,6,,3.0,4.0,87.0,5.0,,12.0,
155,Franklin County Public Schools,Rocky Mount,36.8339,-79.754662,Snow Creek Elementary School,PK-5,8.0,60%,204,5,2,1.0,6.0,6.0,83.0,3.0,,11.0,
156,Grayson County Public Schools,Independence,36.5839,-80.910027,Fairview Elementary School,K-5,8.0,72%,102,5,1,,2.0,14.0,82.0,2.0,,14.0,
157,Hanover County Public Schools,Ashland,37.677917,-77.389748,Pearson's Corner Elementary School,PK-5,8.0,6%,583,4,17,4.0,6.0,4.0,82.0,4.0,1.0,15.0,
158,Hanover County Public Schools,Ashland,37.664509,-77.339729,Rural Point Elementary School,PK-5,8.0,14%,501,4,4,1.0,4.0,2.0,88.0,4.0,1.0,13.0,
