,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
1620,Greensville County Public Schools,Emporia,36.679649,-77.552467,Greensville County High School,9-12,2.0,92%,711,4,1,2.0,69.0,4.0,25.0,1.0,,13.0,
1621,Greensville County Public Schools,Emporia,36.716202,-77.532623,Edward W Wyatt Middle School,5-8,2.0,91%,495,0,0,1.0,74.0,3.0,19.0,3.0,,15.0,
1622,Hampton City Public Schools,Hampton,37.015991,-76.374855,A.W.E. Bassette Elementary School,PK-5,2.0,86%,469,5,11,,82.0,5.0,5.0,7.0,,11.0,
1623,Hampton City Public Schools,Hampton,37.033554,-76.405251,Aberdeen Elementary School,PK-5,2.0,88%,478,3,19,,81.0,4.0,5.0,8.0,1.0,14.0,
1624,Hampton City Public Schools,Hampton,37.056973,-76.337402,Booker Elementary School,K-5,2.0,84%,381,4,15,,45.0,10.0,31.0,13.0,,13.0,
1625,Hampton City Public Schools,Hampton,37.046364,-76.312759,John B. Cary Elementary School,PK-5,2.0,87%,333,3,8,1.0,61.0,7.0,22.0,9.0,,13.0,1.0
1626,Hampton City Public Schools,Hampton,37.067242,-76.384064,Luther W. Machen Elementary School,PK-5,2.0,84%,425,4,25,1.0,71.0,8.0,11.0,9.0,,13.0,
1627,Hampton City Public Schools,Hampton,37.034054,-76.31575,Phoebus High School,9-12,2.0,61%,1043,3,18,,68.0,6.0,19.0,6.0,,10.0,
1628,Harrisonburg City Public Schools,Harrisonburg,38.415451,-78.874847,Stone Spring Elementary School,PK-4,2.0,76%,467,5,8,5.0,14.0,33.0,44.0,4.0,,10.0,
1629,Harrisonburg City Public Schools,Harrisonburg,38.442116,-78.910301,Harrisonburg High School,9-12,2.0,65%,1798,4,13,4.0,12.0,46.0,35.0,3.0,,11.0,
1630,Henrico County Public Schools,Richmond,37.60321,-77.504662,Johnson Elementary School,PK-5,2.0,78%,563,4,19,7.0,26.0,46.0,13.0,7.0,,14.0,
1631,Henrico County Public Schools,Richmond,37.63224,-77.442368,Chamberlayne Elementary School,PK-5,2.0,66%,429,3,29,3.0,70.0,10.0,10.0,6.0,,17.0,
1632,Henrico County Public Schools,Richmond,37.538292,-77.293022,Donahoe Elementary School,PK-5,2.0,68%,521,5,1,1.0,57.0,18.0,19.0,4.0,,14.0,
1633,Henrico County Public Schools,Richmond,37.619518,-77.490982,Holladay Elementary School,PK-5,2.0,75%,620,4,30,5.0,21.0,43.0,26.0,4.0,,15.0,
1634,Henrico County Public Schools,Richmond,37.580105,-77.40094,Glen Lea Elementary School,PK-5,2.0,99%,445,4,3,1.0,89.0,6.0,3.0,2.0,,14.0,
1635,Henrico County Public Schools,Richmond,37.603855,-77.433464,Henrico High School,9-12,2.0,50%,1746,4,24,12.0,71.0,3.0,11.0,3.0,,14.0,
1636,Henrico County Public Schools,Richmond,37.539829,-77.324142,Highland Springs High School,9-12,2.0,59%,1872,4,22,1.0,81.0,5.0,10.0,3.0,,15.0,
1637,Henrico County Public Schools,Richmond,37.596966,-77.428146,Laburnum Elementary School,PK-5,2.0,89%,559,2,14,2.0,89.0,4.0,2.0,2.0,,14.0,
1638,Henrico County Public Schools,Richmond,37.571861,-77.364143,Arthur Ashe Jr. Elementary School,PK-5,2.0,74%,497,4,9,,84.0,12.0,2.0,2.0,,9.0,
1639,Hopewell City Public Schools,Hopewell,37.277931,-77.291313,Hopewell High School,9-12,2.0,93%,1124,3,5,,58.0,7.0,28.0,5.0,1.0,14.0,
1640,Lancaster County Public Schools,Weems,37.770035,-76.456444,Lancaster High School,9-12,2.0,66%,365,3,15,2.0,48.0,2.0,44.0,4.0,,12.0,
1641,Lancaster County Public Schools,Weems,37.712612,-76.383507,Lancaster Middle School,4-8,2.0,76%,395,3,21,1.0,53.0,1.0,40.0,5.0,1.0,14.0,
1642,Loudoun County Public Schools,Broadlands,39.014626,-77.400711,Park View High School,9-12,2.0,60%,1518,4,54,13.0,5.0,64.0,14.0,3.0,1.0,12.0,
1643,Loudoun County Public Schools,Broadlands,39.000759,-77.406181,Sterling Middle School,6-8,2.0,66%,1011,4,33,13.0,5.0,64.0,14.0,3.0,1.0,12.0,
1644,Lynchburg City Public Schools,Lynchburg,37.360699,-79.205505,Heritage High School,9-12,2.0,60%,1074,5,2,3.0,52.0,7.0,29.0,7.0,1.0,13.0,
1645,Lynchburg City Public Schools,Lynchburg,37.416817,-79.193054,Linkhorne Middle School,6-8,2.0,89%,603,2,3,,47.0,5.0,41.0,6.0,,12.0,
1646,Lynchburg City Public Schools,Lynchburg,37.379646,-79.202553,Sandusky Middle School,6-8,2.0,89%,562,4,11,3.0,54.0,7.0,26.0,9.0,,12.0,
1647,Lynchburg City Public Schools,Lynchburg,37.413544,-79.163498,Dearington Elem/Innovation,PK-5,2.0,88%,175,4,2,1.0,83.0,1.0,13.0,3.0,,13.0,
1648,Manassas City Public Schools,Manassas,38.745544,-77.471245,Baldwin Elementary School,PK-4,2.0,66%,665,4,46,4.0,14.0,57.0,15.0,10.0,,16.0,
1649,Manassas City Public Schools,Manassas,38.747288,-77.467644,Osbourn High School,9-12,2.0,45%,2223,4,78,4.0,11.0,63.0,18.0,4.0,,14.0,
1650,Manassas City Public Schools,Manassas,38.762856,-77.490181,Richard C. Haydon Elementary School,PK-4,2.0,57%,601,3,49,5.0,8.0,59.0,21.0,5.0,,12.0,
1651,Manassas Park City Public Schools,Manassas Park,38.761494,-77.42292,Manassas Park Elementary School,3-5,2.0,63%,871,4,37,4.0,10.0,62.0,17.0,7.0,,13.0,
1652,Mecklenburg County Public Schools,Boydton,36.705475,-78.496246,Bluestone  High School,9-12,2.0,64%,544,3,3,1.0,49.0,4.0,43.0,3.0,,12.0,
1653,Newport News City Public Schools,Newport News,37.02755,-76.445946,Carver Elementary School,PK-5,2.0,83%,687,4,12,,67.0,14.0,14.0,4.0,,15.0,
1654,Newport News City Public Schools,Newport News,37.126106,-76.549004,Denbigh High School,9-12,2.0,50%,1380,3,22,4.0,53.0,18.0,23.0,2.0,,17.0,
1655,Newport News City Public Schools,Newport News,37.044754,-76.462677,Homer L. Hines Middle School,6-8,2.0,83%,894,3,14,2.0,51.0,14.0,26.0,6.0,,15.0,1.0
1656,Newport News City Public Schools,Newport News,36.989407,-76.41507,Huntington Middle School,6-8,2.0,80%,523,2,20,,89.0,3.0,5.0,2.0,,13.0,
1657,Newport News City Public Schools,Newport News,36.982471,-76.40284,Magruder Elementary School,PK-3,2.0,83%,508,4,1,,88.0,3.0,3.0,5.0,,15.0,
1658,Newport News City Public Schools,Newport News,36.995907,-76.422501,Newsome Park Elementary School,PK-5,2.0,81%,459,3,4,,87.0,8.0,2.0,3.0,,14.0,
1659,Newport News City Public Schools,Newport News,37.006748,-76.427956,Heritage High School,9-12,2.0,80%,1252,5,16,1.0,87.0,4.0,6.0,2.0,,16.0,
1660,Newport News City Public Schools,Newport News,37.175865,-76.526962,Oliver C. Greenwood Elementary School,PK-5,2.0,65%,682,5,3,2.0,44.0,22.0,21.0,12.0,,18.0,
1661,Norfolk City Public Schools,Norfolk,36.870098,-76.240944,Coleman Place Elementary School,PK-5,2.0,99%,680,4,8,2.0,76.0,7.0,8.0,7.0,,14.0,
1662,Norfolk City Public Schools,Norfolk,36.857319,-76.19368,Fairlawn Elementary School,3-5,2.0,98%,260,3,11,4.0,60.0,15.0,12.0,8.0,,14.0,1.0
1663,Norfolk City Public Schools,Norfolk,36.90826,-76.281181,Granby Elementary School,PK-5,2.0,99%,582,5,40,2.0,58.0,9.0,25.0,6.0,,15.0,
1664,Norfolk City Public Schools,Norfolk,36.869503,-76.201599,Lake Taylor Middle School,6-8,2.0,88%,615,1,12,2.0,76.0,4.0,9.0,7.0,,13.0,1.0
1665,Norfolk City Public Schools,Norfolk,36.917343,-76.209023,Little Creek Elementary School,PK-5,2.0,62%,715,3,32,1.0,43.0,19.0,29.0,8.0,,16.0,
1666,Norfolk City Public Schools,Norfolk,36.865086,-76.289604,Maury High School,9-12,2.0,42%,1673,2,16,4.0,51.0,5.0,34.0,6.0,,13.0,
1667,Norfolk City Public Schools,Norfolk,36.900589,-76.240761,Norview High School,9-12,2.0,58%,1893,3,8,4.0,56.0,9.0,23.0,6.0,1.0,16.0,
1668,Norfolk City Public Schools,Norfolk,36.877338,-76.23893,Sherwood Forest Elementary School,PK-5,2.0,99%,600,3,23,3.0,56.0,11.0,21.0,9.0,,16.0,1.0
1669,Norfolk City Public Schools,Norfolk,36.830891,-76.28508,St. Helena Elementary School,PK-5,2.0,98%,283,2,13,,94.0,2.0,,2.0,1.0,16.0,
1670,Norfolk City Public Schools,Norfolk,36.850327,-76.277687,Tidewater Park Elementary School,3-5,2.0,98%,285,3,16,,96.0,2.0,1.0,1.0,,16.0,
1671,Norfolk City Public Schools,Norfolk,36.875896,-76.290359,James Monroe Elementary School,PK-5,2.0,99%,321,4,3,2.0,90.0,3.0,4.0,2.0,,19.0,
1672,Northampton County Public Schools,Machipongo,37.252357,-75.97036,Kiptopeke Elementary School,PK-6,2.0,77%,469,3,10,1.0,40.0,23.0,32.0,3.0,,18.0,
1673,Page County Public Schools,Luray,38.578651,-78.503342,Stanley Elementary School,PK-5,2.0,67%,426,4,7,1.0,1.0,4.0,92.0,2.0,,14.0,
1674,Portsmouth City Public Schools,Portsmouth,36.804684,-76.315788,Cradock Middle School,7-8,2.0,99%,503,3,20,,82.0,3.0,10.0,4.0,1.0,13.0,
1675,Portsmouth City Public Schools,Portsmouth,36.79763,-76.320145,James Hurst Elementary School,K-6,2.0,99%,589,2,37,1.0,74.0,4.0,17.0,4.0,,16.0,
1676,Portsmouth City Public Schools,Portsmouth,36.841393,-76.346863,John Tyler Elementary School,K-6,2.0,99%,646,3,43,,71.0,4.0,20.0,5.0,,18.0,
1677,Prince Edward County Public Schools,Farmville,37.265331,-78.401421,Prince Edward County High School,9-12,2.0,60%,630,3,24,1.0,55.0,3.0,40.0,,,11.0,1.0
1678,Prince Edward County Public Schools,Farmville,37.265331,-78.401421,Prince Edward Middle School,5-8,2.0,73%,593,3,7,1.0,56.0,4.0,35.0,4.0,,11.0,
1679,Prince William County Public Schools,Manassas,38.645699,-77.304398,Gar-Field High School,9-12,2.0,62%,2507,5,47,8.0,22.0,56.0,10.0,3.0,,18.0,
1680,Prince William County Public Schools,Manassas,38.765331,-77.508736,Stonewall Jackson High School,9-12,2.0,54%,2700,4,110,6.0,15.0,59.0,15.0,5.0,1.0,17.0,
1681,Richmond City Public Schools,Richmond,37.548698,-77.462502,Binford Middle School,6-8,2.0,97%,410,4,17,1.0,78.0,1.0,17.0,3.0,,8.0,
1682,Richmond City Public Schools,Richmond,37.516876,-77.443573,Blackwell Elementary School,PK-5,2.0,99%,441,4,21,3.0,93.0,1.0,2.0,1.0,,12.0,
1683,Richmond City Public Schools,Richmond,37.530201,-77.413002,Chimborazo Elementary School,PK-5,2.0,99%,425,4,15,,91.0,1.0,6.0,1.0,,14.0,
1684,Richmond City Public Schools,Richmond,37.510857,-77.466576,Swansboro Elementary School,PK-5,2.0,98%,274,5,1,,89.0,5.0,4.0,1.0,,13.0,
1685,Richmond City Public Schools,Richmond,37.489071,-77.508804,G.H. Reid Elementary School,PK-5,2.0,99%,700,3,9,,47.0,50.0,1.0,2.0,,14.0,
1686,Richmond City Public Schools,Richmond,37.534588,-77.411194,George Mason Elementary School,PK-5,2.0,45%,923,0,0,3.0,59.0,2.0,31.0,4.0,,14.0,
1687,Richmond City Public Schools,Richmond,37.505371,-77.442375,Oak Grove/Bellemeade Elementary School,PK-5,2.0,97%,719,3,2,3.0,78.0,16.0,2.0,1.0,,15.0,
1688,Richmond City Public Schools,Richmond,37.521282,-77.491844,Westover Hills Elementary School,PK-5,2.0,98%,446,5,25,1.0,85.0,6.0,7.0,1.0,,13.0,
1689,Richmond City Public Schools,Richmond,37.545937,-77.401649,Woodville Elementary School,PK-5,2.0,99%,393,3,1,1.0,95.0,1.0,1.0,2.0,,14.0,
1690,Richmond City Public Schools,Richmond,37.531212,-77.421341,Bellevue Elementary School,PK-5,2.0,97%,280,4,9,,88.0,6.0,4.0,3.0,,12.0,
1691,Richmond City Public Schools,Richmond,37.47686,-77.479355,Broad Rock Elementary School,PK-5,2.0,98%,910,4,4,2.0,56.0,38.0,2.0,2.0,,14.0,
1692,Richmond City Public Schools,Richmond,37.546368,-77.582802,J.B. Fisher Elementary School,PK-5,2.0,99%,315,5,20,1.0,55.0,23.0,14.0,7.0,,15.0,
1693,Richmond City Public Schools,Richmond,37.571468,-77.486237,Thomas Jefferson High School,9-12,2.0,99%,734,3,6,1.0,69.0,5.0,23.0,1.0,,15.0,
1694,Richmond City Public Schools,Richmond,37.594875,-77.446396,John Marshall High School,9-12,2.0,99%,667,2,4,,92.0,1.0,6.0,,,14.0,
1695,Roanoke City Public Schools,Roanoke,37.275806,-79.966125,Hurt Park Elementary School,PK-5,2.0,99%,365,4,4,2.0,74.0,4.0,13.0,5.0,2.0,10.0,
1696,Roanoke City Public Schools,Roanoke,37.301003,-79.995728,Westside Elementary School,PK-5,2.0,99%,756,3,8,1.0,72.0,14.0,12.0,1.0,1.0,13.0,
1697,Rockingham County Public Schools,Harrisonburg,38.627743,-78.773354,Plains Elementary School,PK-5,2.0,48%,434,4,4,,1.0,16.0,77.0,4.0,1.0,14.0,
1698,Rockingham County Public Schools,Harrisonburg,38.613022,-78.806366,John C. Myers Elementary School,PK-5,2.0,40%,520,5,2,1.0,1.0,9.0,86.0,3.0,,13.0,
1699,Shenandoah County Public Schools,Woodstock,38.706791,-78.662346,North Fork Middle School,6-8,2.0,49%,339,5,4,,1.0,14.0,82.0,2.0,,10.0,
1700,Shenandoah County Public Schools,Woodstock,38.980942,-78.374527,Sandy Hook Elementary School,PK-5,2.0,42%,904,4,5,,4.0,7.0,84.0,5.0,,14.0,
1701,Spotsylvania County Public Schools,Fredericksburg,38.255585,-77.486458,Spotswood Elementary School,PK-5,2.0,59%,545,4,16,2.0,24.0,24.0,42.0,8.0,,19.0,
1702,Suffolk City Public Schools,Suffolk,36.754303,-76.540009,Mack Benn Junior Elementary School,PK-5,2.0,85%,662,2,8,,73.0,4.0,18.0,5.0,,14.0,
1703,VA Beach City Public Schools,Virginia Beach,36.870243,-76.151276,Bayside High School,9-12,2.0,51%,1967,4,27,6.0,44.0,11.0,31.0,8.0,,14.0,
1704,Waynesboro City Public Schools,Waynesboro,38.055984,-78.899208,Berkeley Glenn Elementary School,K-5,2.0,56%,285,5,6,,15.0,13.0,57.0,14.0,,14.0,
1705,Waynesboro City Public Schools,Waynesboro,38.070988,-78.897629,Waynesboro High School,9-12,2.0,48%,837,5,7,1.0,19.0,13.0,60.0,7.0,,15.0,
1706,Winchester City Public Schools,Winchester,39.151295,-78.180855,Frederick Douglass Elementary School,PK-4,2.0,59%,330,4,10,2.0,8.0,42.0,42.0,7.0,,13.0,
1707,Rockingham County Public Schools,Harrisonburg,38.454597,-78.915726,Mountain View Elementary School,PK-5,2.0,46%,485,5,25,1.0,1.0,24.0,72.0,1.0,2.0,14.0,
1708,Spotsylvania County Public Schools,Fredericksburg,38.274765,-77.552177,Harrison Road Elementary School,PK-5,2.0,52%,793,4,28,3.0,16.0,30.0,42.0,9.0,,18.0,
1709,Newport News City Public Schools,Newport News,37.148083,-76.547676,Mary Passage Middle School,6-8,2.0,83%,787,2,21,3.0,55.0,15.0,20.0,7.0,,16.0,1.0
1710,Prince William County Public Schools,Manassas,38.765587,-77.510399,Suella G. Ellis Elementary School,PK-5,2.0,72%,585,4,11,6.0,17.0,62.0,11.0,3.0,,13.0,
1711,Manassas City Public Schools,Manassas,38.752823,-77.457718,Mayfield Intermediate School,5-6,2.0,59%,1081,3,31,3.0,10.0,68.0,14.0,5.0,,13.0,
1712,Harrisonburg City Public Schools,Harrisonburg,38.440369,-78.836044,Smithland Elementary School,PK-4,2.0,69%,780,0,0,3.0,9.0,56.0,27.0,6.0,,12.0,
1713,Petersburg City Public Schools,Petersburg,37.217602,-77.409935,Peabody Middle School,6-8,2.0,99%,723,3,11,1.0,92.0,4.0,2.0,1.0,,11.0,
1714,Loudoun County Public Schools,Broadlands,39.107399,-77.5532,Frederick Douglass Elementary School,PK-5,2.0,41%,717,4,20,14.0,14.0,29.0,36.0,7.0,1.0,13.0,
1715,Buckingham County Public Schools,Buckingham,37.553238,-78.484032,Buckingham County Elementary School,3-5,2.0,81%,518,5,7,,36.0,4.0,52.0,8.0,,17.0,
1716,Danville City Public Schools,Danville,36.570347,-79.401436,E. A. Gibson Elementary School,K-5,1.0,98%,558,0,0,1.0,76.0,7.0,13.0,2.0,,18.0,
1717,Alexandria City Public Schools,Alexandria,38.826988,-77.131828,William Ramsay Elementary School,PK-5,1.0,85%,701,5,94,10.0,21.0,52.0,14.0,1.0,1.0,13.0,
1718,Danville City Public Schools,Danville,36.616638,-79.396751,G.L.H. Johnson Elementary School,K-5,1.0,99%,553,5,3,1.0,85.0,3.0,7.0,4.0,,14.0,
1719,Danville City Public Schools,Danville,36.585835,-79.412422,George Washington High School,9-12,1.0,93%,1353,3,4,1.0,73.0,7.0,17.0,2.0,,12.0,
1720,Danville City Public Schools,Danville,36.582623,-79.438873,Park Avenue Elementary School,K-5,1.0,98%,451,1,15,1.0,57.0,14.0,25.0,3.0,1.0,15.0,
1721,Danville City Public Schools,Danville,36.604462,-79.405586,Woodberry Hills Elementary School,K-5,1.0,99%,394,5,5,1.0,80.0,3.0,12.0,4.0,,15.0,
1722,Fairfax County Public Schools,Falls Church,38.78484,-77.078484,Mount Eagle Elementary School,PK-6,1.0,73%,416,4,27,5.0,17.0,66.0,11.0,1.0,,10.0,
1723,Fairfax County Public Schools,Falls Church,38.726944,-77.092316,Mount Vernon High School,9-12,1.0,52%,2083,4,65,6.0,27.0,44.0,19.0,3.0,,13.0,
1724,Fredericksburg City Public Schools,Fredericksburg,38.311146,-77.475037,James Monroe High School,9-12,1.0,36%,1004,3,29,5.0,35.0,21.0,35.0,3.0,,14.0,
1725,Greensville County Public Schools,Emporia,36.720173,-77.539169,Belfield Elementary School,"PK, 1",1.0,91%,177,1,7,1.0,77.0,7.0,14.0,2.0,,16.0,
1726,Harrisonburg City Public Schools,Harrisonburg,38.438431,-78.883041,Keister Elementary School,PK-4,1.0,69%,371,4,26,3.0,9.0,42.0,43.0,4.0,,11.0,
1727,Harrisonburg City Public Schools,Harrisonburg,38.442364,-78.860161,Spotswood Elementary School,PK-4,1.0,97%,455,4,10,1.0,7.0,59.0,31.0,3.0,,10.0,
1728,Henrico County Public Schools,Richmond,37.542892,-77.340141,Highland Springs Elementary School,PK-5,1.0,95%,588,4,11,,93.0,2.0,3.0,2.0,,15.0,
1729,Loudoun County Public Schools,Broadlands,38.996819,-77.398743,Sully Elementary School,PK-5,1.0,87%,455,4,18,9.0,2.0,76.0,9.0,2.0,1.0,12.0,
1730,Manassas City Public Schools,Manassas,38.745705,-77.489159,Jennie Dean Elementary School,PK-4,1.0,63%,666,4,28,2.0,12.0,71.0,11.0,4.0,1.0,12.0,
1731,Newport News City Public Schools,Newport News,37.147835,-76.529121,George J. Mcintosh Elementary School,PK-5,1.0,83%,490,4,27,2.0,51.0,21.0,17.0,8.0,,13.0,
1732,Newport News City Public Schools,Newport News,37.065479,-76.509117,Hidenwood Elementary School,PK-5,1.0,81%,576,4,22,1.0,57.0,12.0,23.0,6.0,,16.0,
1733,Newport News City Public Schools,Newport News,37.131248,-76.550812,Horace H. Epes Elementary School,PK-5,1.0,83%,510,3,57,2.0,58.0,21.0,13.0,5.0,,13.0,1.0
1734,Newport News City Public Schools,Newport News,37.086803,-76.45443,Joseph H. Saunders Elementary School,PK-5,1.0,84%,747,4,35,1.0,51.0,21.0,20.0,7.0,,16.0,
1735,Newport News City Public Schools,Newport News,37.041382,-76.450661,Sedgefield Elementary School,PK-5,1.0,83%,473,2,22,2.0,62.0,11.0,17.0,8.0,1.0,15.0,
1736,Norfolk City Public Schools,Norfolk,36.853287,-76.266716,B. T. Washington High School,9-12,1.0,93%,927,3,13,2.0,81.0,6.0,6.0,4.0,,13.0,
1737,Norfolk City Public Schools,Norfolk,36.856239,-76.256447,Richard Bowling Elementary School,PK-5,1.0,99%,575,2,9,,91.0,3.0,2.0,3.0,,15.0,
1738,Norfolk City Public Schools,Norfolk,36.829582,-76.259621,Campostella Elementary School,K-6,1.0,98%,877,2,5,,93.0,3.0,1.0,3.0,,19.0,
1739,Norfolk City Public Schools,Norfolk,36.844185,-76.251396,Chesterfield Academy Elementary,PK-5,1.0,99%,366,5,2,,96.0,2.0,,2.0,,20.0,
1740,Norfolk City Public Schools,Norfolk,36.907127,-76.277435,Granby High School,9-12,1.0,56%,2010,2,25,3.0,52.0,10.0,28.0,7.0,,13.0,
1741,Norfolk City Public Schools,Norfolk,36.855949,-76.265457,Jacox Elementary School,PK-5,1.0,99%,684,1,2,,96.0,2.0,1.0,1.0,,19.0,
1742,Norfolk City Public Schools,Norfolk,36.869534,-76.202408,Lake Taylor High School,9-12,1.0,59%,1237,3,8,3.0,72.0,8.0,11.0,4.0,1.0,12.0,
1743,Norfolk City Public Schools,Norfolk,36.869072,-76.270035,Lindenwood Elementary School,PK-5,1.0,96%,340,4,5,1.0,86.0,6.0,4.0,4.0,,28.0,
1744,Norfolk City Public Schools,Norfolk,36.847256,-76.276329,Ruffner Middle School,6-8,1.0,91%,580,3,23,1.0,94.0,2.0,1.0,2.0,,11.0,
1745,Petersburg City Public Schools,Petersburg,37.213188,-77.431648,J.E.B. Stuart Elementary School,K-5,1.0,99%,538,1,1,,89.0,7.0,3.0,1.0,,17.0,
1746,Petersburg City Public Schools,Petersburg,37.185963,-77.399353,Petersburg High School,9-12,1.0,96%,1047,1,5,1.0,92.0,4.0,2.0,,,13.0,
1747,Petersburg City Public Schools,Petersburg,37.235023,-77.372574,Robert E. Lee Elementary School,K-5,1.0,99%,479,4,7,1.0,83.0,13.0,3.0,,,16.0,
1748,Petersburg City Public Schools,Petersburg,37.2052,-77.415596,A.P. Hill Elementary School,K-5,1.0,98%,504,5,8,,96.0,2.0,1.0,1.0,,15.0,
1749,Portsmouth City Public Schools,Portsmouth,36.818256,-76.339081,Douglass Park Elementary School,K-6,1.0,99%,683,3,12,,97.0,1.0,,1.0,,17.0,
1750,Portsmouth City Public Schools,Portsmouth,36.829296,-76.349167,Westhaven Elementary School,K-6,1.0,99%,579,4,14,1.0,64.0,1.0,30.0,3.0,1.0,13.0,1.0
1751,Richmond City Public Schools,Richmond,37.490097,-77.476501,E.S.H. Greene Elementary School,PK-5,1.0,99%,641,0,0,1.0,12.0,85.0,1.0,,,13.0,
1752,Richmond City Public Schools,Richmond,37.549854,-77.401314,Fairfield Court Elementary School,PK-5,1.0,99%,472,4,8,,97.0,,1.0,1.0,,14.0,
1753,Richmond City Public Schools,Richmond,37.587578,-77.446777,Ginter Park Elementary School,PK-5,1.0,99%,314,5,3,1.0,98.0,,1.0,,,12.0,
1754,Richmond City Public Schools,Richmond,37.596565,-77.445961,Henderson Middle School,6-8,1.0,99%,420,3,4,,95.0,2.0,1.0,1.0,,14.0,
1755,Richmond City Public Schools,Richmond,37.54211,-77.420639,Martin Luther King Jr. Middle School,6-8,1.0,98%,611,3,12,,98.0,,,,,12.0,
1756,Richmond City Public Schools,Richmond,37.564941,-77.424728,Overby-Sheppard Elementary School,PK-5,1.0,99%,367,5,1,1.0,93.0,4.0,1.0,2.0,,15.0,
1757,Richmond City Public Schools,Richmond,37.554695,-77.448936,George W. Carver Elementary School,PK-5,1.0,99%,484,5,2,2.0,94.0,1.0,1.0,2.0,,15.0,
1758,Richmond City Public Schools,Richmond,37.473186,-77.469337,Thomas C. Boushall Middle School,6-8,1.0,96%,732,3,2,,53.0,43.0,2.0,1.0,,17.0,
1759,Richmond City Public Schools,Richmond,37.510406,-77.483093,George Wythe High School,9-12,1.0,99%,1180,2,28,1.0,61.0,33.0,5.0,,,13.0,
1760,Richmond City Public Schools,Richmond,37.55249,-77.403877,Armstrong High School,9-12,1.0,94%,930,3,6,,96.0,1.0,3.0,,,16.0,
1761,Richmond City Public Schools,Richmond,37.531742,-77.542503,Huguenot High School,9-12,1.0,98%,1349,3,10,1.0,66.0,25.0,7.0,1.0,,17.0,
1762,Richmond City Public Schools,Richmond,37.505974,-77.5131,Miles Jones Elementary School,PK-5,1.0,98%,634,4,9,1.0,70.0,25.0,4.0,,,13.0,
1763,Fredericksburg City Public Schools,Fredericksburg,38.275414,-77.490364,Lafayette Upper Elementary School,3-5,1.0,80%,862,2,16,6.0,35.0,25.0,27.0,6.0,,15.0,
1764,Arlington County Public Schools,Arlington,38.865307,-77.088013,Arlington Mill High School,9-12,1.0,62%,168,5,1,5.0,7.0,82.0,4.0,1.0,1.0,12.0,
1765,Loudoun County Public Schools,Broadlands,38.968178,-77.734619,Middleburg Community Charter School,K-5,,0%,144,4,83,5.0,7.0,8.0,72.0,8.0,,14.0,
1766,Bridging Communities Reg Cte Center,New Kent,37.515827,-76.980057,Bridging Communities Reg Cte Center,Ungraded,,?,0,0,0,,,,,,,,
1767,Richmond City Public Schools,Richmond,37.510406,-77.483093,Richmond Career Education & Employment (Charter Sc,9-12,,0%,34,5,7,,88.0,6.0,6.0,,,3.0,
1768,Bedford County Public Schools,Bedford,37.326813,-79.525307,Bedford County Alternative Education Center,Ungraded,,?,0,0,0,,,,,,,,
1769,Henrico County Public Schools,Richmond,37.550804,-77.344208,Empowerment Academy,Ungraded,,?,0,0,0,,,,,,,,
1770,Norfolk City Public Schools,Norfolk,36.878933,-76.303253,Norfolk Alternative High,Ungraded,,?,0,0,0,,,,,,,,
1771,Norfolk City Public Schools,Norfolk,36.878933,-76.303253,Norfolk Alternative Middle,Ungraded,,?,0,0,0,,,,,,,,
1772,Loudoun County Public Schools,Broadlands,39.199158,-77.719955,Hillsboro Charter Academy,1-5,,?,132,0,0,2.0,2.0,8.0,82.0,7.0,,,
1773,New Horizons Career & Technical Center,Hampton,37.063316,-76.411354,Greater Peninsula Governor's Stem Academy,Ungraded,,?,0,0,0,,,,,,,,
1774,The Pruden Center For Industry And Technical,Suffolk,36.784672,-76.644577,Fostering Innovation And Relevance Through Stem And Trades (,Ungraded,,?,0,0,0,,,,,,,,
1775,Northern Neck Technical Center,Warsaw,37.944778,-76.747902,Northern Neck Gov Stem Academy/Agric & Maritime Studies,Ungraded,,?,0,0,0,,,,,,,,
1776,Albemarle County Public Schools,Charlottesville,37.998985,-78.489548,Monticello Governor's Health Sciences Academy,Ungraded,,?,0,0,0,,,,,,,,
1777,Bridging Communities Reg Cte Center,New Kent,37.515827,-76.980057,Bridging Communities Stem Academy,Ungraded,,?,0,0,0,,,,,,,,
1778,Code Rva High,Goochland,37.568008,-77.454781,Coderva Regional High,Ungraded,,?,0,0,0,,,,,,,,
1779,Breaking Barriers Alternative Education Henry County,Martinsville,37.326813,-79.525307,Governor's Health Sciences Academy,Ungraded,,?,0,0,0,,,,,,,,
1780,Botetourt County Public Schools,Fincastle,37.436066,-79.905281,Stem - Health Academy,Ungraded,,?,0,0,0,,,,,,,,
1781,Carroll County Public Schools,Hillsville,36.762299,-80.723396,Blue Ridge Crossroads Governor's Academy For Technical Educa,Ungraded,,?,0,0,0,,,,,,,,
1782,Chesterfield County Public Schools,Chesterfield,36.762299,-80.723396,Chesterfield Career & Technical Center At Hull,Ungraded,,?,0,0,0,,,,,,,,
1783,Chesterfield County Public Schools,Chesterfield,37.406654,-77.660988,Academy 360,Ungraded,,?,0,0,0,,,,,,,,
